Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Blocks,OwnG,Clear,Inter,Fouls,Offsides,Tackles,Drb,Fouled,UnsTch,Off,Disp,KeyP,AvgP,LongB,Crosses,ThrB,xG/Shots,Shots,xG,xGDiff,xG/90
200,Takehiro Tomiyasu,Arsenal,26,D(CLR),10(12),1144,2,1,-,1,0.8,85.5,1.2,-,6.6,0.2,-,1.4,0.8,0.6,0.1,0.9,0.3,0.4,0.6,-,0.1,0.3,27.6,0.7,0.2,-,0.11,17.0,1.9,0.1,0.15
201,Wataru Endo,Liverpool,31,DMC,20(9),1723,1,-,10,-,0.3,88.4,1.1,-,6.59,0.1,-,1,0.7,1.7,-,1.7,1.4,0.9,0.9,-,0.8,0.6,45.0,1,0.1,0.1,0.05,10.0,0.54,0.46,0.03
202,Elijah Adebayo,Luton,26,FW,16(11),1419,10,-,1,-,1.1,72.6,1.6,1,6.59,0.1,-,0.9,0.2,1,-,0.1,0.4,0.6,2.3,0.5,1.3,0.5,7.3,-,-,-,0.21,31.0,6.5,3.5,0.41
203,Axel Disasi,Chelsea,26,D(CR),29(2),2581,2,-,6,-,0.5,90.6,2.4,1,6.58,0.6,1,3.1,0.6,0.5,0.8,1.1,0.2,0.5,0.5,0.1,0.4,0.1,70.9,1.5,-,0.1,0.17,16.0,2.73,-0.73,0.1
204,Vladimír Coufal,West Ham,32,"D(R),M(R)",36,3140,-,7,5,1,0.2,73.0,1.1,-,6.58,0.4,-,2.3,1.2,0.9,0.2,1.8,1,0.7,0.8,-,0.4,0.9,34.1,1.1,0.7,-,0.04,8.0,0.31,-0.31,0.01
205,Jakub Kiwior,Arsenal,24,"D(CL),DMC",11(9),946,1,3,1,-,0.3,85.8,0.8,-,6.58,0.2,-,1.2,0.4,0.5,0.2,1,0.3,0.2,0.4,-,0.1,0.3,27.2,1.1,0.2,-,0.18,6.0,1.09,-0.09,0.1
206,Taiwo Awoniyi,Nottingham Forest,27,FW,12(8),1047,6,3,2,-,1.1,73.8,1.1,-,6.58,0.1,-,0.5,0.1,0.5,-,0.5,0.1,0.8,1.9,0.7,0.6,0.5,8.6,0.1,-,0.1,0.24,22.0,5.28,0.72,0.45
207,Sander Berge,Burnley,26,M(C),34(3),3009,1,2,8,1,0.7,88.8,1.8,1,6.58,0.5,-,1.6,0.6,1.1,0.1,2.1,0.6,0.5,0.6,0.1,0.6,0.8,41.8,2.2,-,0.1,0.09,25.0,2.22,-1.22,0.07
208,Gustavo Hamer,Sheff Utd,27,"D(R),M(CL)",34(2),2924,4,6,9,-,1.4,73.5,0.2,-,6.58,0.3,-,0.9,0.8,1.4,-,1.1,1.2,0.5,1,0.2,0.5,1.9,27.3,1.2,0.9,-,0.06,49.0,2.77,1.23,0.09
209,Danny Welbeck,Brighton,34,"AM(CLR),FW",21(8),1707,5,1,4,-,1.4,83.2,0.6,-,6.58,-,-,0.6,0.3,0.4,-,1.2,0.2,0.7,1.6,0.3,0.7,0.8,17.4,-,-,-,0.16,41.0,6.55,-1.55,0.35
210,Lyle Foster,Burnley,24,FW,22(2),1908,5,3,-,1,1.4,68.1,2.1,-,6.57,0.1,-,1.4,0.1,1,-,0.8,0.5,0.5,2.9,0.6,1.4,0.8,18.8,0.4,-,-,0.15,34.0,5.12,-0.12,0.24
211,Raphaël Varane,Man Utd,31,D(C),16(6),1374,1,-,2,-,0.4,89.3,1,-,6.57,0.8,-,3.9,0.7,0.4,0.4,0.8,0.2,0.1,0.3,0.1,0.1,-,35.2,1.3,-,-,0.12,8.0,0.93,0.07,0.06
212,Reece Burke,Luton,28,D(CR),20(2),1666,-,4,5,-,0.6,77.5,2.1,-,6.57,0.8,-,3.3,0.8,0.9,0.1,1.7,0.6,0.5,0.8,-,0.2,0.6,31.1,1.6,0.2,-,0.15,13.0,1.95,-1.95,0.11
213,Odsonne Édouard,Crystal Palace,26,"AM(L),FW",17(13),1556,7,-,4,-,1.7,73.3,1.1,-,6.56,-,-,0.6,0.2,1,-,0.8,0.5,0.7,1.8,0.3,0.9,0.6,11.2,0.1,0.1,-,0.15,51.0,7.59,-0.59,0.44
214,Konstantinos Mavropanos,West Ham,27,D(CR),16(3),1501,1,-,2,-,0.6,76.7,2.3,-,6.55,0.7,2,4.1,1.2,0.8,0.3,1.5,0.2,0.5,0.4,-,-,0.2,33.0,2.1,-,-,0.09,12.0,1.06,-0.06,0.06
215,Marc Guéhi,Crystal Palace,24,D(C),23(2),2023,-,1,2,-,0.2,87.2,1.2,-,6.55,0.7,-,3.5,0.7,0.6,0.7,1.1,0.4,1,0.4,-,0.1,0.3,52.0,3.4,-,-,0.1,5.0,0.48,-0.48,0.02
216,Justin Kluivert,Bournemouth,25,"AM(CLR),FW",26(6),1937,7,1,5,-,1.8,72.4,0.4,-,6.55,-,-,0.3,0.3,1.6,-,0.9,0.7,0.9,1.6,0.2,0.9,0.7,11.9,0.4,0.2,-,0.13,56.0,7.5,-0.5,0.35
217,Issa Kaboré,Luton,23,"D(R),M(R)",21(3),1734,-,2,7,-,0.3,76.0,0.8,1,6.55,0.5,1,1.9,0.7,1.1,-,2.2,0.9,1.3,1,0.1,0.3,0.7,22.5,0.6,0.6,-,0.06,6.0,0.34,-0.34,0.02
218,Danilo,Nottingham Forest,23,M(C),20(9),1801,2,2,4,-,0.8,80.6,0.5,-,6.55,0.3,-,1.4,1.2,0.4,-,1.2,0.9,0.3,0.8,0.1,0.4,0.7,25.0,1.6,0.1,-,0.08,23.0,1.89,0.11,0.09
219,Toti Gomes,Wolves,25,D(CL),31(4),2779,1,3,7,-,0.3,82.8,1.6,1,6.55,0.5,-,2.5,0.7,1.1,0.3,1.3,0.4,0.4,0.5,0.1,0.2,0.2,48.9,1.3,-,-,0.2,10.0,2.0,-1,0.06
220,Antony,Man Utd,24,AM(R),15(14),1324,1,1,5,-,1.5,80.0,0.1,1,6.54,-,-,0.3,0.4,0.7,-,1.4,0.7,1.1,0.9,0.1,0.7,0.8,19.3,0.4,0.1,0.1,0.1,43.0,4.11,-3.11,0.28
221,David Raya,Arsenal,29,GK,32,2880,-,-,2,-,-,70.8,0.2,-,6.54,-,-,0.4,-,-,-,-,-,0.1,-,-,-,-,28.3,4.5,-,-,,,,,
222,Eddie Nketiah,Arsenal,25,"AM(C),FW",10(17),1073,5,2,3,-,1.4,79.9,0.9,1,6.53,-,-,0.1,0.1,0.9,-,0.4,0.2,1,1.4,0.3,0.7,0.3,7.7,-,-,0.1,0.13,38.0,4.96,0.04,0.42
223,Illia Zabarnyi,Bournemouth,22,D(C),37,3330,1,-,5,-,0.2,81.6,2.1,-,6.53,0.9,-,3.7,0.9,0.6,0.3,1.6,0.7,0.6,0.4,-,0.1,0.2,48.7,3.5,-,-,0.23,8.0,1.81,-0.81,0.05
224,Will Hughes,Crystal Palace,29,M(CLR),23(7),1899,-,1,6,-,0.3,85.1,0.4,-,6.53,0.5,-,0.7,0.7,1.3,-,2,0.8,1,0.7,-,0.9,0.7,28.2,0.3,0.3,-,0.04,8.0,0.34,-0.34,0.02
225,Harry Wilson,Fulham,27,AM(CLR),16(19),1616,4,6,6,-,1.1,79.2,0.1,2,6.52,0.1,-,0.3,0.3,0.6,-,0.6,0.5,1.1,0.9,0.1,0.3,0.6,16.6,0.8,0.3,0.1,0.07,40.0,2.75,1.25,0.15
226,Tom Cairney,Fulham,33,M(CR),14(20),1480,1,4,3,-,0.5,90.3,0.4,-,6.52,0.1,1,0.2,0.4,0.5,-,0.7,0.4,0.7,0.9,-,0.7,0.8,36.5,1.2,0.1,-,0.07,17.0,1.24,-0.24,0.08
227,Nathaniel Clyne,Crystal Palace,33,"D(CLR),M(R)",14(5),1339,-,-,-,-,0.2,84.2,0.7,-,6.52,0.3,-,1.5,0.5,0.3,0.2,1.3,0.4,0.2,0.7,-,-,0.2,28.1,1.4,0.1,-,0.04,4.0,0.15,-0.15,0.01
228,Kurt Zouma,West Ham,30,D(CR),32(1),2841,3,-,3,-,0.5,83.9,1.8,1,6.52,0.8,-,4.8,0.9,0.7,0.5,0.7,0.2,0.2,0.4,-,0.1,0.1,34.6,2.1,-,-,0.12,16.0,1.99,1.01,0.06
229,Igor Julio,Brighton,26,"D(CL),M(L)",17(7),1638,-,-,4,-,0.2,93.6,1.1,-,6.52,0.4,-,1.9,0.6,0.9,0.3,1,0.5,0.2,0.4,-,0.3,0.3,59.0,1,-,-,0.05,5.0,0.24,-0.24,0.01
230,Adam Smith,Bournemouth,33,"D(LR),M(LR)",25(3),2158,-,2,6,-,0.1,77.1,0.7,-,6.51,0.4,-,1.8,0.8,1.1,0.3,1.3,0.7,0.8,0.5,-,0.3,0.6,27.4,0.8,0.6,0.1,0.02,2.0,0.04,-0.04,-
231,Emerson Royal,Tottenham,25,"D(CLR),M(R)",11(11),1155,1,-,4,-,0.3,91.2,0.7,1,6.51,0.5,-,2,0.9,0.6,0.4,1.6,1,1.7,0.7,-,0.5,0.1,43.1,0.9,0.1,-,0.04,6.0,0.26,0.74,0.02
232,Joël Veltman,Brighton,32,"D(CR),M(R)",17(10),1583,1,1,4,-,0.2,84.9,1.1,-,6.51,0.3,-,1.9,0.7,0.6,0.1,2,0.7,1.6,0.8,-,0.3,0.1,30.0,1.1,-,-,0.13,5.0,0.66,0.34,0.04
233,Zeki Amdouni,Burnley,24,"AM(C),FW",27(7),1972,5,1,2,-,1.4,80.9,0.5,1,6.51,0.3,-,0.3,0.3,0.6,0.1,0.8,0.5,1.1,2,0.1,0.9,0.5,14.4,0.5,-,0.1,0.13,49.0,6.27,-1.27,0.29
234,Thomas Kaminski,Luton,32,GK,38,3406,-,-,3,-,-,55.0,0.1,-,6.51,-,-,0.6,-,-,-,0.1,0.1,0.1,-,-,-,-,34.5,8.2,-,-,,,,,
235,Harry Toffolo,Nottingham Forest,29,"D(L),M(L)",15(8),1456,1,3,3,-,0.3,76.2,1.1,-,6.5,0.6,-,1.9,0.6,0.7,-,1.1,0.4,0.1,0.3,-,0.2,0.8,19.4,0.7,0.7,-,0.18,8.0,1.48,-0.48,0.09
236,Tino Livramento,Newcastle,22,D(LR),12(14),1306,1,-,1,-,0.2,86.8,0.5,-,6.5,0.3,-,1.4,1,0.1,0.1,0.9,0.4,1.1,0.7,-,0.7,0.5,26.0,0.5,0.2,-,0.22,4.0,0.89,0.11,0.06
237,Amari'i Bell,Luton,30,"D(CL),M(L)",21,1722,-,-,-,-,0.1,79.6,1,-,6.5,0.7,-,2.6,1.2,1,0.3,2.4,0.6,0.8,0.9,-,0.2,0.4,37.6,1.4,-,-,0.19,2.0,0.38,-0.38,0.02
238,Ryan Yates,Nottingham Forest,27,M(C),21(14),1986,1,1,6,-,0.9,80.3,1.2,1,6.5,0.4,-,1.1,0.6,1.5,-,1.9,0.4,1.6,0.7,0.1,0.3,0.2,23.3,0.8,-,-,0.1,32.0,3.1,-2.1,0.14
239,Victor Lindelöf,Man Utd,30,D(CLR),14(5),1333,1,1,2,-,0.3,89.5,0.9,1,6.5,0.5,-,2,0.6,0.8,0.2,0.8,0.4,0.1,0.3,0.2,0.2,0.4,46.1,1.4,-,0.1,0.1,6.0,0.62,0.38,0.04
240,Ryan Gravenberch,Liverpool,22,DMC,12(14),1122,1,-,-,-,0.9,83.4,0.4,-,6.49,0.1,-,0.4,0.5,0.8,-,1,0.7,0.6,1.8,-,0.5,0.6,19.0,0.2,-,0.1,0.07,23.0,1.5,-0.5,0.12
241,Jóhann Gudmundsson,Burnley,34,M(CLR),12(14),1194,1,3,2,-,0.6,78.3,0.5,-,6.49,-,-,0.6,0.6,0.3,-,0.5,0.3,0.8,0.8,0.1,0.6,1.3,17.9,1.1,1,0.1,0.11,15.0,1.68,-0.68,0.13
242,Giovani Lo Celso,Tottenham,28,"M(CR),FW",4(18),498,2,2,2,-,0.6,91.5,-,1,6.49,-,-,0.1,0.2,0.5,-,1,0.2,1.2,0.5,-,0.3,0.8,22.0,0.8,0.2,0.1,0.05,13.0,0.65,1.35,0.12
243,Evan Ferguson,Brighton,20,FW,15(12),1366,6,-,1,-,1.2,81.3,0.5,1,6.49,0.1,-,0.3,0.1,0.9,-,0.5,0.3,0.9,1.5,0.2,1.1,0.2,11.1,0.1,-,-,0.13,33.0,4.44,1.56,0.29
244,Neal Maupay,Brentford,28,"AM(C),FW",13(16),1317,6,3,8,-,1.3,72.8,0.5,2,6.48,-,-,0.1,0.1,0.7,-,0.3,0.3,0.9,1,0.1,0.8,0.5,12.8,0.5,0.1,0.1,0.16,37.0,5.8,0.2,0.4
245,Jeffrey Schlupp,Crystal Palace,32,"D(L),M(CLR)",17(12),1357,2,2,1,-,0.7,75.9,0.8,1,6.48,0.1,-,0.6,0.3,0.8,-,1.3,0.3,0.5,1.4,-,0.8,0.7,11.1,0.2,0.1,-,0.1,19.0,1.84,0.16,0.12
246,Facundo Buonanotte,Brighton,20,AM(CR),17(10),1370,3,1,7,-,0.8,85.3,0.2,-,6.47,0.1,-,0.2,0.3,1.3,-,1.6,1.1,1.5,1.6,0.1,1.2,0.7,17.4,0.2,-,-,0.13,21.0,2.77,0.23,0.18
247,Keane Lewis-Potter,Brentford,23,"D(L),M(CLR),FW",15(15),1442,3,1,-,-,1.4,77.4,0.5,-,6.47,0.1,-,0.7,0.2,0.3,0.1,0.6,0.3,0.6,1,0.1,0.6,0.4,11.9,0.3,0.2,-,0.19,43.0,7.96,-4.96,0.5
248,Philip Billing,Bournemouth,28,"M(C),FW",13(16),1393,2,2,3,1,1,78.4,1.2,-,6.47,0.2,-,0.9,0.7,0.7,-,1.1,0.6,0.4,0.9,-,0.6,0.8,17.3,0.6,0.2,-,0.1,30.0,2.97,-0.97,0.19
249,Curtis Jones,Liverpool,23,M(CL),14(9),1168,1,1,3,1,0.8,91.5,0.3,-,6.47,-,-,0.3,0.3,0.7,-,1.2,0.6,0.6,0.7,0.2,1.4,0.5,32.6,0.5,-,-,0.12,19.0,2.22,-1.22,0.17
250,Jayden Bogle,Sheff Utd,24,"D(R),M(R)",32(2),2795,3,-,9,-,0.9,69.7,1.5,-,6.47,0.3,1,2.5,0.9,1.1,0.2,1.9,1,0.6,1.5,0.1,0.8,0.3,22.7,1,0.3,-,0.08,32.0,2.56,0.44,0.08
251,Charlie Taylor,Burnley,31,"D(CL),M(L)",25(3),2332,1,1,8,-,0.4,78.9,1.5,-,6.47,0.4,-,2.4,0.7,0.7,0.3,1.3,0.6,0.6,0.6,0.1,0.4,0.5,37.2,1.8,0.5,-,0.03,10.0,0.3,0.7,0.01
252,Alex Scott,Bournemouth,21,M(CR),11(12),1013,1,1,3,-,0.7,81.0,0.7,1,6.46,0.2,-,0.7,0.5,0.9,-,1,0.7,1.1,0.7,-,0.5,1,18.8,0.7,0.3,-,0.05,15.0,0.74,0.26,0.07
253,Calvin Bassey,Fulham,25,D(CL),25(4),2302,1,-,4,1,0.2,86.2,1,-,6.46,0.4,-,2.8,1,0.5,0.4,1.7,0.3,0.4,0.4,0.1,0.3,-,57.5,2.9,-,-,0.06,5.0,0.31,0.69,0.01
254,Álex Moreno,Aston Villa,31,"D(L),M(L)",11(10),1031,2,-,2,-,0.4,83.3,0.2,-,6.46,0.1,1,1.6,0.6,0.5,0.3,0.9,0.3,0.8,0.7,0.1,0.3,0.5,19.4,0.6,0.2,-,0.18,8.0,1.45,0.55,0.13
255,Orel Mangala,Nottingham Forest,26,M(C),19(1),1571,1,-,6,-,0.5,88.6,0.5,-,6.45,0.3,-,1.4,1.3,1.2,-,1.4,0.8,1.1,0.9,-,0.9,0.3,32.1,1.2,0.1,-,0.08,10.0,0.76,0.24,0.04
256,Wes Foderingham,Sheff Utd,33,GK,29(1),2648,-,-,2,-,-,52.6,0.2,1,6.45,-,1,1,-,-,-,0.2,-,0.4,-,-,-,-,31.4,7.6,-,-,,,,,
257,Jacob Brown,Luton,26,"M(CLR),FW",12(7),1020,2,-,4,-,1.4,56.3,2.3,1,6.45,0.1,-,0.9,0.4,1,0.1,1,0.6,1,1.3,0.3,1.3,0.4,12.1,0.2,0.2,-,0.12,26.0,3.16,-1.16,0.28
258,Jacob Bruun Larsen,Burnley,26,"AM(CLR),FW",16(16),1252,6,-,1,-,1.4,76.8,0.4,-,6.45,0.1,-,0.7,0.2,0.4,-,0.3,0.4,0.2,0.9,0.3,0.3,0.8,14.3,0.4,0.7,-,0.11,44.0,5.03,0.97,0.36
259,Joel Ward,Crystal Palace,35,"D(CLR),DMC,M(R)",23(3),1982,-,1,4,-,0.4,75.7,1.8,-,6.45,0.4,1,3.2,0.5,0.8,0.1,1.7,0.7,0.2,0.5,-,0.1,0.1,30.9,1.5,0.1,-,0.08,10.0,0.83,-0.83,0.04
260,Sam Johnstone,Crystal Palace,31,GK,20,1797,-,-,1,-,-,52.9,0.1,2,6.44,-,-,0.7,0.1,0.1,-,0.1,-,-,-,-,-,-,26.6,6.9,-,-,,,,,
261,Mads Roerslev,Brentford,25,"D(R),M(R)",22(12),1985,1,2,1,-,0.2,68.9,0.4,1,6.44,0.1,-,1.8,0.6,0.3,0.1,1.4,0.8,0.4,0.7,0.1,0.4,0.4,17.8,0.6,0.7,-,0.17,7.0,1.16,-0.16,0.05
262,Frank Onyeka,Brentford,27,DMC,11(15),1157,1,2,8,-,0.8,77.6,0.4,-,6.43,0.3,-,0.7,0.9,0.9,-,1.4,0.5,1.2,1.3,0.2,0.5,0.5,14.4,0.5,0.2,-,0.1,22.0,2.1,-1.1,0.16
263,Milos Kerkez,Bournemouth,21,"D(L),M(L)",22(6),1976,-,1,4,1,0.6,77.2,0.6,-,6.42,0.4,1,2,0.7,0.9,0.1,1.7,0.4,0.8,1,-,0.4,0.4,22.4,0.8,0.4,-,0.1,16.0,1.6,-1.6,0.07
264,Cameron Archer,Sheff Utd,23,FW,21(8),1836,4,1,1,-,1.4,80.7,0.2,-,6.42,0.1,-,0.3,-,0.5,-,0.6,0.3,0.7,2.1,0.4,1.6,0.8,11.3,0.1,0.1,-,0.16,42.0,6.89,-2.89,0.34
265,Nayef Aguerd,West Ham,28,D(C),21,1859,1,-,1,1,0.7,80.5,2.3,-,6.42,1.1,-,3.8,0.8,0.5,0.3,1.2,0.3,0.3,0.5,-,0.1,0.2,55.4,5,-,-,0.14,14.0,2.01,-1.01,0.1
266,Bobby De Cordova-Reid,Fulham,31,"D(R),M(CLR),FW",17(16),1428,6,2,4,-,1,79.0,0.4,-,6.41,0.1,-,0.4,0.2,0.5,-,0.7,0.4,0.8,1,0.1,0.3,0.5,13.4,0.3,0.2,-,0.16,33.0,5.28,0.72,0.33
267,Mikkel Damsgaard,Brentford,24,AM(CL),7(16),834,-,2,2,-,0.4,73.6,0.5,-,6.41,-,-,0.4,0.5,0.6,-,1.3,1.1,0.3,0.8,0.1,0.3,0.4,17.1,1,0.1,-,0.11,9.0,0.97,-0.97,0.1
268,Jorginho,Arsenal,33,DMC,10(14),920,-,2,1,-,0.2,90.2,0.3,-,6.41,-,-,0.3,0.5,0.4,-,1,0.5,0.6,0.2,-,0.2,0.4,32.2,1.6,-,0.2,0.02,4.0,0.1,-0.1,0.01
269,Nathan Patterson,Everton,23,"D(R),M(R)",9(11),1000,-,2,4,-,0.2,73.0,0.4,-,6.41,0.2,-,1.4,0.5,0.9,0.1,1.7,1.2,0.3,1,0.1,0.3,0.4,20.4,1.4,0.4,0.1,0.08,4.0,0.33,-0.33,0.03
270,Ashley Young,Everton,39,"D(LR),M(LR)",27(4),2291,-,-,5,1,0.4,72.4,0.6,-,6.4,0.2,1,1.5,0.7,1.1,0.1,1.7,0.8,0.8,0.5,-,0.4,0.7,25.0,1.5,0.8,-,0.05,13.0,0.64,-0.64,0.03
271,Lloyd Kelly,Bournemouth,26,D(CL),17(6),1558,-,1,2,-,0.2,77.6,1.2,-,6.4,0.5,-,2.6,0.6,0.7,0.2,1,0.5,0.6,0.9,-,0.3,0.4,33.6,2.4,0.2,-,0.13,4.0,0.51,-0.51,0.03
272,Billy Gilmour,Brighton,23,DMC,24(6),2126,-,1,8,1,0.8,92.2,0.4,-,6.39,0.3,-,0.5,0.4,0.7,-,0.9,0.8,1,0.9,-,0.3,0.7,68.8,2.1,0.4,0.1,0.04,25.0,1.09,-1.09,0.05
273,Rodrigo Bentancur,Tottenham,27,M(C),13(10),1010,1,1,7,-,0.8,85.5,0.6,-,6.39,0.2,-,0.7,0.7,0.9,-,1,0.6,0.7,0.7,-,0.8,0.3,34.2,0.9,-,0.1,0.09,18.0,1.7,-0.7,0.15
274,James McAtee,Sheff Utd,22,AM(CR),20(10),1826,3,3,2,-,0.9,72.0,0.4,-,6.38,-,-,0.5,0.4,0.5,-,1.1,0.7,1,1.6,-,1.3,0.9,16.3,0.2,0.3,0.1,0.13,26.0,3.44,-0.44,0.17
275,Matt Doherty,Wolves,32,"D(CLR),M(LR)",9(21),1144,1,-,2,-,0.3,79.3,1.3,-,6.38,0.2,-,1.2,0.2,0.4,-,1,0.4,0.4,0.6,0.2,0.2,0.4,18.8,1,-,-,0.14,9.0,1.26,-0.26,0.1
276,Diego Carlos,Aston Villa,31,D(C),20(7),1812,-,-,4,-,0.4,88.4,0.8,-,6.36,0.7,-,2.9,0.5,1,1.3,1,0.3,0.1,0.3,-,0.1,0.1,49.6,2.4,-,-,0.19,10.0,1.87,-1.87,0.09
277,Christian Eriksen,Man Utd,32,"M(CLR),FW",12(10),1141,1,2,1,-,0.6,84.1,0.1,-,6.36,0.3,-,0.5,0.2,0.3,-,0.8,1,0.1,0.4,-,0.6,1.2,34.3,1.5,0.5,0.1,0.1,13.0,1.32,-0.32,0.1
278,Moussa Niakhaté,Nottingham Forest,28,D(CL),15(6),1459,1,-,3,1,0.2,85.5,0.8,-,6.36,0.6,-,2.3,0.7,0.5,0.1,2,0.2,0.2,0.2,-,0.1,0.1,32.8,1.5,-,-,0.23,5.0,1.16,-0.16,0.07
279,Jordan Clark,Luton,31,M(CLR),14(9),1307,1,1,4,-,0.7,74.1,0.8,1,6.36,0.1,-,0.6,0.5,0.6,-,1.3,1.2,1.1,1.1,0.2,0.9,0.5,21.0,1.1,0.3,-,0.06,17.0,1.0,-,0.07
280,Jack Robinson,Sheff Utd,31,"D(CL),M(L)",31(3),2886,1,1,10,-,0.4,77.3,2.1,-,6.36,1,2,3.7,1,0.6,0.4,1.3,0.4,0.5,0.5,-,0.1,0.4,31.3,2.1,0.1,-,0.13,14.0,1.81,-0.81,0.06
281,Sasa Lukic,Fulham,28,M(C),13(11),1120,1,-,3,-,0.5,87.5,0.5,-,6.36,0.2,-,0.8,0.7,1.1,-,1.4,0.9,0.4,0.5,-,0.4,0.5,20.4,0.5,-,0.1,0.1,13.0,1.35,-0.35,0.11
282,Tahith Chong,Luton,25,"M(CLR),FW",20(13),1987,4,-,4,-,0.9,81.8,0.3,-,6.34,0.2,-,0.3,0.2,0.6,0.1,1.1,0.5,1.9,1.8,0.1,1.2,0.3,15.2,0.5,0.2,0.1,0.12,31.0,3.64,0.36,0.16
283,Auston Trusty,Sheff Utd,26,D(CL),28(4),2573,-,-,4,-,0.3,79.0,2,-,6.34,0.7,-,4.5,1.1,0.7,0.4,1.5,0.7,0.4,0.5,0.1,0.1,0.3,26.4,1.2,0.1,-,0.09,8.0,0.68,-0.68,0.02
284,Harrison Reed,Fulham,29,"D(R),M(CR)",15(12),1325,-,2,6,-,0.3,85.3,0.4,-,6.34,0.3,-,0.8,0.4,1,-,1.1,0.7,0.4,0.7,-,0.5,0.5,26.7,0.8,0.1,-,0.03,9.0,0.29,-0.29,0.02
285,Andros Townsend,Luton,33,"AM(CLR),FW",14(13),1210,1,3,1,-,0.7,80.2,-,-,6.34,-,-,0.3,0.2,0.5,-,0.8,0.5,0.4,1.3,0.1,1,0.7,12.9,0.6,0.6,-,0.06,20.0,1.12,-0.12,0.08
286,Carlos Baleba,Brighton,21,DMC,15(12),1324,-,-,7,-,0.8,92.2,0.9,-,6.33,0.3,-,1,0.7,1.5,-,1.5,0.9,1,0.6,-,0.6,0.3,28.6,0.7,-,-,0.04,21.0,0.89,-0.89,0.06
287,Jhon Durán,Aston Villa,21,FW,3(20),463,5,-,5,-,0.9,71.1,0.9,1,6.32,-,-,0.4,-,0.5,-,0.3,0.2,0.3,0.7,0.2,0.6,0.2,5.0,-,-,-,0.11,20.0,2.23,2.77,0.43
288,Pierre-Emile Højbjerg,Tottenham,29,M(C),8(28),1294,-,-,4,-,0.5,88.6,0.2,-,6.32,0.2,1,0.8,0.5,0.6,0.1,0.9,0.6,0.5,0.6,-,0.3,0.3,38.4,2.1,-,-,0.03,19.0,0.64,-0.64,0.04
289,Jean-Ricner Bellegarde,Wolves,26,M(CLR),10(12),953,2,1,-,1,0.7,84.3,0.4,1,6.32,0.1,-,0.6,0.4,0.5,-,0.8,0.4,1.1,1.1,0.1,0.9,0.5,12.8,0.2,0.1,-,0.1,15.0,1.56,0.44,0.15
290,Beto,Everton,26,FW,9(21),939,3,-,2,-,1.4,61.5,1.6,1,6.32,-,-,0.4,-,0.7,-,0.5,0.3,0.6,1.6,0.3,0.7,0.4,5.8,0.2,-,-,0.16,43.0,6.83,-3.83,0.65
291,Tariq Lamptey,Brighton,24,"D(LR),M(R)",10(9),916,-,3,3,-,0.3,87.9,0.2,-,6.32,0.2,-,0.3,0.3,0.6,0.3,1.1,0.5,0.9,1.2,0.2,0.1,0.5,19.5,0.4,0.5,-,0.09,6.0,0.55,-0.55,0.05
292,Oliver Norwood,Sheff Utd,33,M(C),16(11),1433,1,-,8,-,0.6,72.2,0.5,-,6.31,0.3,-,1.3,0.8,0.6,-,1.5,1,0.3,0.3,-,0.1,0.6,31.7,2.5,0.6,-,0.07,15.0,1.06,-0.06,0.07
293,Vitinho,Burnley,25,"D(LR),M(LR)",26(6),2320,-,2,1,-,0.8,77.1,0.6,-,6.31,0.2,-,1.3,0.4,0.8,0.3,2,1.3,0.9,1.1,0.2,0.8,0.3,23.6,0.8,0.2,-,0.07,25.0,1.63,-1.63,0.06
294,Tommy Doyle,Wolves,23,M(C),11(15),1216,-,-,2,-,0.5,86.4,-,-,6.3,0.3,-,0.7,0.5,0.4,-,1,0.3,0.2,0.3,-,0.3,0.3,35.0,2.9,0.2,-,0.04,14.0,0.49,-0.49,0.04
295,Jay Rodriguez,Burnley,35,"AM(CLR),FW",7(14),815,2,1,-,-,1,66.0,1,-,6.29,-,-,0.3,-,0.9,-,0.7,0.3,0.3,1,0.3,0.2,0.2,10.2,0.3,-,-,0.19,22.0,4.23,-2.23,0.47
296,Anel Ahmedhodzic,Sheff Utd,25,D(C),29(2),2650,2,-,9,1,0.6,75.6,1.6,1,6.28,0.8,-,4.3,1.1,1.1,0.4,2.1,0.6,0.4,0.5,0.1,0.4,0.2,30.8,1.5,-,-,0.18,19.0,3.36,-1.36,0.11
297,Yehor Yarmoliuk,Brentford,20,M(C),6(21),676,-,-,2,-,0.4,77.3,0.3,-,6.27,0.1,-,0.2,0.2,0.4,-,0.6,0.4,0.2,0.6,-,0.4,0.1,10.4,0.3,-,-,0.09,11.0,0.96,-0.96,0.13
298,Cauley Woodrow,Luton,30,"AM(C),FW",2(22),411,1,1,2,-,0.7,74.8,0.5,-,6.26,-,-,0.5,-,0.3,-,0.7,0.3,0.2,0.4,0.1,0.3,0.4,5.8,-,0.2,-,0.07,16.0,1.16,-0.16,0.25
299,Ansu Fati,Brighton,22,"AM(L),FW",3(16),514,2,-,2,-,1.4,87.3,0.1,-,6.26,-,-,0.2,0.2,0.3,-,0.3,0.5,0.7,0.8,0.1,0.5,0.3,10.7,0.3,-,0.1,0.15,26.0,3.84,-1.84,0.67
